year,month,day,0000,0300,0600,0900,1200,1500,1800,2100,Date_Number
1994,03,17,4,5,5,5,4,3,4,3,19940317
1994,03,18,4,4,4,2,3,2,2,5,19940318
1994,03,19,4,4,3,4,3,2,2,3,19940319
1994,03,20,3,3,3,3,2,2,3,3,19940320
1994,03,21,3,6,4,4,4,4,4,3,19940321
1994,03,22,4,3,2,3,5,3,3,3,19940322
1994,03,23,3,5,3,3,4,3,2,2,19940323
1994,03,24,4,3,2,5,4,2,2,2,19940324
1994,03,25,3,2,3,3,3,3,3,3,19940325
1994,03,26,2,2,3,3,2,3,2,2,19940326
1994,03,27,2,1,3,1,2,2,3,3,19940327
1994,03,28,1,3,3,2,3,3,2,2,19940328
1994,03,29,2,1,2,2,2,1,2,2,19940329
1994,03,30,1,1,1,4,3,3,3,3,19940330
1994,03,31,2,2,1,2,2,2,2,1,19940331
1994,04,01,1,2,2,2,2,2,2,2,19940401
1994,04,02,3,2,4,5,4,5,5,5,19940402
1994,04,03,5,7,7,6,5,5,5,7,19940403
1994,04,04,6,6,7,5,4,4,3,4,19940404
1994,04,05,4,4,5,5,4,4,3,5,19940405
1994,04,06,5,5,6,6,5,5,4,4,19940406
1994,04,07,5,5,6,5,4,3,3,4,19940407
1994,04,08,5,6,5,5,5,3,3,4,19940408
1994,04,09,6,5,5,6,5,4,4,4,19940409
1994,04,10,5,5,4,5,5,4,3,4,19940410
1994,04,11,4,6,6,5,4,3,3,4,19940411
1994,04,12,5,5,5,3,3,3,4,4,19940412
1994,04,13,3,4,5,4,3,4,4,4,19940413
1994,04,14,5,4,3,5,4,3,3,4,19940414
1994,04,15,4,3,3,3,3,3,3,4,19940415
1994,04,16,3,6,5,2,3,3,5,4,19940416
1994,04,17,7,8,9,8,5,3,3,4,19940417
1994,04,18,3,4,4,3,4,4,3,3,19940418
1994,04,19,5,3,4,4,2,2,3,3,19940419
1994,04,20,3,3,3,3,2,2,1,2,19940420
1994,04,21,2,2,3,1,2,2,3,3,19940421
1994,04,22,2,2,2,2,3,2,2,2,19940422
1994,04,23,1,1,2,3,2,2,3,3,19940423
1994,04,24,2,2,3,3,2,2,1,2,19940424
1994,04,25,2,2,2,1,1,2,2,3,19940425
1994,04,26,1,2,3,2,1,2,1,2,19940426
1994,04,27,1,1,2,2,2,2,1,1,19940427
1994,04,28,1,1,1,1,2,1,1,1,19940428
1994,04,29,1,2,3,1,1,0,1,3,19940429
1994,04,30,0,1,1,0,1,0,1,1,19940430
1994,05,01,1,2,4,4,5,5,5,6,19940501
1994,05,02,5,6,5,4,4,3,4,6,19940502
1994,05,03,6,7,6,5,4,3,3,3,19940503
1994,05,04,4,5,4,3,4,4,3,3,19940504
1994,05,05,5,5,5,4,4,4,4,4,19940505
1994,05,06,4,5,6,4,3,3,3,5,19940506
1994,05,07,6,6,6,5,4,3,4,3,19940507
1994,05,08,5,5,6,5,4,3,4,4,19940508
1994,05,09,4,5,4,5,3,3,3,3,19940509
1994,05,10,4,4,6,3,3,3,3,5,19940510
1994,05,11,4,5,4,4,3,3,3,4,19940511
1994,05,12,3,3,3,2,1,2,2,3,19940512
1994,05,13,3,3,2,2,1,2,2,3,19940513
1994,05,14,2,5,5,3,3,3,3,3,19940514
1994,05,15,3,3,5,6,4,3,4,4,19940515
1994,05,16,4,4,5,4,6,4,3,3,19940516
1994,05,17,4,4,3,3,2,3,2,3,19940517
1994,05,18,4,4,4,3,3,3,2,4,19940518
1994,05,19,3,4,3,3,3,2,2,2,19940519
1994,05,20,2,3,2,2,2,3,2,2,19940520
1994,05,21,2,2,1,2,2,2,2,2,19940521
1994,05,22,2,2,2,2,3,3,3,2,19940522
1994,05,23,2,2,1,2,2,3,3,3,19940523
1994,05,24,3,5,4,3,3,3,3,3,19940524
1994,05,25,3,5,4,4,2,3,2,4,19940525
1994,05,26,2,3,4,4,2,3,2,2,19940526
1994,05,27,2,2,1,2,2,2,2,2,19940527
1994,05,28,1,1,1,3,4,5,5,4,19940528
1994,05,29,5,6,5,5,4,5,3,4,19940529
1994,05,30,5,7,5,5,4,4,4,4,19940530
1994,05,31,4,6,5,5,3,3,4,3,19940531
1994,06,01,4,4,5,5,3,3,3,3,19940601
1994,06,02,4,4,4,4,3,3,3,3,19940602
1994,06,03,4,4,3,3,3,3,3,4,19940603
1994,06,04,4,4,4,4,3,3,3,4,19940604
1994,06,05,3,4,4,3,3,3,3,4,19940605
1994,06,06,4,3,3,4,3,3,4,4,19940606
1994,06,07,4,3,4,3,3,3,2,3,19940607
1994,06,08,4,2,3,3,2,2,2,2,19940608
1994,06,09,2,3,4,4,2,1,2,2,19940609
1994,06,10,2,3,3,5,3,4,3,3,19940610
1994,06,11,3,3,4,5,3,2,2,3,19940611
1994,06,12,3,4,4,5,3,4,4,3,19940612
1994,06,13,3,2,2,3,2,3,3,3,19940613
1994,06,14,3,3,3,3,3,3,3,3,19940614
1994,06,15,3,2,3,3,2,2,2,2,19940615
1994,06,16,3,1,2,1,2,2,1,2,19940616
1994,06,17,1,2,2,3,3,3,3,2,19940617
1994,06,18,3,4,4,3,2,3,2,2,19940618
1994,06,19,2,2,4,6,5,3,3,3,19940619
1994,06,20,3,3,2,2,3,3,3,3,19940620
1994,06,21,2,3,3,3,3,2,2,2,19940621
1994,06,22,2,3,2,2,3,2,3,2,19940622
1994,06,23,1,1,1,0,1,3,3,2,19940623
1994,06,24,1,2,1,1,1,2,2,2,19940624
1994,06,25,0,1,0,1,2,1,1,3,19940625
1994,06,26,3,4,4,4,4,4,5,4,19940626
1994,06,27,6,4,5,2,3,3,2,3,19940627
1994,06,28,4,2,2,3,3,3,3,5,19940628
1994,06,29,4,5,4,3,3,3,4,4,19940629
1994,06,30,3,4,4,4,3,3,3,3,19940630
1994,07,01,4,4,5,4,3,3,3,4,19940701
1994,07,02,3,5,5,5,3,3,3,4,19940702
1994,07,03,3,3,4,4,2,2,3,3,19940703
1994,07,04,3,3,3,2,2,3,3,3,19940704
1994,07,05,2,2,2,1,2,3,2,3,19940705
1994,07,06,2,2,3,3,2,2,3,4,19940706
1994,07,07,3,4,3,3,4,3,3,3,19940707
1994,07,08,2,2,1,1,2,2,2,2,19940708
1994,07,09,2,1,0,1,2,3,2,2,19940709
1994,07,10,1,1,1,1,2,2,2,2,19940710
1994,07,11,1,1,0,0,2,2,2,2,19940711
1994,07,12,1,1,0,0,1,2,1,2,19940712
1994,07,13,2,0,1,0,1,1,2,2,19940713
1994,07,14,1,1,2,4,5,5,4,5,19940714
1994,07,15,4,3,3,2,3,3,3,4,19940715
1994,07,16,5,4,3,5,4,3,3,3,19940716
1994,07,17,4,4,3,4,3,2,3,3,19940717
1994,07,18,3,3,3,3,3,2,2,2,19940718
1994,07,19,3,3,3,3,2,2,2,3,19940719
1994,07,20,2,1,3,2,2,2,1,2,19940720
1994,07,21,2,3,4,3,3,2,2,3,19940721
1994,07,22,2,3,2,2,2,1,1,1,19940722
1994,07,23,1,3,1,2,2,2,2,3,19940723
1994,07,24,2,2,2,1,2,2,3,3,19940724
1994,07,25,3,2,2,2,3,2,2,3,19940725
1994,07,26,1,2,1,2,1,2,2,3,19940726
1994,07,27,3,5,2,2,1,2,2,3,19940727
1994,07,28,3,4,2,3,3,3,3,3,19940728
1994,07,29,3,3,3,2,2,3,3,3,19940729
1994,07,30,3,3,2,2,2,2,2,3,19940730
1994,07,31,3,2,1,3,2,2,2,3,19940731
1994,08,01,3,2,2,2,2,2,2,2,19940801
1994,08,02,2,1,1,1,1,2,2,2,19940802
1994,08,03,2,1,0,1,1,1,2,2,19940803
1994,08,04,1,0,0,0,1,2,2,1,19940804
1994,08,05,2,2,1,2,1,1,1,1,19940805
1994,08,06,1,2,2,2,2,2,2,1,19940806
1994,08,07,0,0,1,0,1,1,1,1,19940807
1994,08,08,1,0,0,0,1,1,1,2,19940808
1994,08,09,1,2,1,0,1,2,2,3,19940809
1994,08,10,3,2,3,2,4,4,4,3,19940810
1994,08,11,3,3,3,3,3,3,3,3,19940811
1994,08,12,3,4,4,2,3,3,3,3,19940812
1994,08,13,3,5,4,2,4,3,3,3,19940813
1994,08,14,4,4,5,5,4,3,3,3,19940814
1994,08,15,4,2,3,3,4,3,3,4,19940815
1994,08,16,3,3,2,3,2,1,5,3,19940816
1994,08,17,2,3,3,2,2,2,1,1,19940817
1994,08,18,0,1,2,3,2,2,2,3,19940818
1994,08,19,2,2,1,1,1,2,2,2,19940819
1994,08,20,1,3,3,2,2,2,2,2,19940820
1994,08,21,3,2,1,1,3,3,2,1,19940821
1994,08,22,2,2,1,1,2,2,3,3,19940822
1994,08,23,3,3,1,1,1,1,2,2,19940823
1994,08,24,2,2,1,1,1,2,2,2,19940824
1994,08,25,2,4,3,4,3,3,3,1,19940825
1994,08,26,0,2,2,2,1,1,1,3,19940826
1994,08,27,3,2,2,2,1,1,1,2,19940827
1994,08,28,2,3,2,2,1,2,2,1,19940828
1994,08,29,1,1,3,1,1,1,1,1,19940829
1994,08,30,1,1,1,1,1,2,2,1,19940830
1994,08,31,0,1,1,1,2,1,1,3,19940831
1994,09,01,4,3,2,3,1,1,3,3,19940901
1994,09,02,3,3,1,1,2,1,1,1,19940902
1994,09,03,2,2,2,1,1,1,1,1,19940903
1994,09,04,2,1,1,1,1,2,1,2,19940904
1994,09,05,2,2,3,3,2,2,2,2,19940905
1994,09,06,1,3,3,5,3,3,2,2,19940906
1994,09,07,3,4,4,5,5,3,4,4,19940907
1994,09,08,4,5,5,5,3,3,3,3,19940908
1994,09,09,3,4,4,5,5,4,4,3,19940909
1994,09,10,4,4,4,4,3,3,2,2,19940910
1994,09,11,3,4,4,3,3,3,3,2,19940911
1994,09,12,2,1,2,4,3,3,2,2,19940912
1994,09,13,2,3,4,3,2,3,2,3,19940913
1994,09,14,3,3,2,2,3,2,1,2,19940914
1994,09,15,2,1,2,2,2,2,2,3,19940915
1994,09,16,3,3,3,2,2,2,2,2,19940916
1994,09,17,2,3,3,3,1,3,1,2,19940917
1994,09,18,2,2,2,1,1,1,1,1,19940918
1994,09,19,3,1,2,1,1,1,1,1,19940919
1994,09,20,1,1,1,1,1,1,1,2,19940920
1994,09,21,2,1,1,1,2,2,2,3,19940921
1994,09,22,2,1,0,0,0,1,1,1,19940922
1994,09,23,1,1,0,1,1,2,1,1,19940923
1994,09,24,2,3,2,1,1,1,1,2,19940924
1994,09,25,2,1,1,0,2,2,4,4,19940925
1994,09,26,3,4,4,5,3,2,2,2,19940926
1994,09,27,4,3,4,4,3,2,2,3,19940927
1994,09,28,4,3,4,4,2,2,2,1,19940928
1994,09,29,2,2,3,2,1,1,1,1,19940929
1994,09,30,2,2,2,2,1,1,1,1,19940930
1994,10,01,1,1,1,1,0,1,1,0,19941001
1994,10,02,1,0,1,2,2,3,2,4,19941002
1994,10,03,6,7,6,6,6,4,5,3,19941003
1994,10,04,5,4,4,4,4,3,3,4,19941004
1994,10,05,4,4,4,5,5,4,4,3,19941005
1994,10,06,4,5,5,5,4,4,3,4,19941006
1994,10,07,4,4,5,4,5,4,4,4,19941007
1994,10,08,3,4,4,4,3,3,3,3,19941008
1994,10,09,3,3,3,3,2,2,3,2,19941009
1994,10,10,3,3,3,3,2,3,3,3,19941010
1994,10,11,3,4,5,5,4,3,3,2,19941011
1994,10,12,2,4,4,3,3,3,3,3,19941012
1994,10,13,3,3,3,4,2,3,3,3,19941013
1994,10,14,3,2,1,3,2,2,2,2,19941014
1994,10,15,3,3,3,3,3,1,2,2,19941015
1994,10,16,3,1,2,2,2,2,1,1,19941016
1994,10,17,2,2,1,1,1,1,2,2,19941017
1994,10,18,1,1,0,1,1,1,1,2,19941018
1994,10,19,2,0,0,0,2,2,3,3,19941019
1994,10,20,3,0,0,1,2,2,2,2,19941020
1994,10,21,2,0,0,0,0,1,1,1,19941021
1994,10,22,1,1,1,4,4,3,3,5,19941022
1994,10,23,6,5,6,6,5,4,3,3,19941023
1994,10,24,4,5,5,5,4,4,3,3,19941024
1994,10,25,2,4,4,2,2,1,2,2,19941025
1994,10,26,3,2,3,3,2,2,2,2,19941026
1994,10,27,2,2,3,2,3,2,1,1,19941027
1994,10,28,1,2,3,2,2,1,2,2,19941028
1994,10,29,3,3,5,6,7,6,3,3,19941029
1994,10,30,3,5,5,6,5,4,5,4,19941030
1994,10,31,4,3,5,6,6,4,4,3,19941031
1994,11,01,4,4,4,3,3,3,2,2,19941101
1994,11,02,4,4,4,4,4,3,2,2,19941102
1994,11,03,2,3,3,3,4,3,2,2,19941103
1994,11,04,3,5,3,3,3,4,3,3,19941104
1994,11,05,4,3,2,3,3,3,3,4,19941105
1994,11,06,4,4,6,6,4,4,3,2,19941106
1994,11,07,2,3,3,4,3,1,2,1,19941107
1994,11,08,2,2,2,2,3,2,2,2,19941108
1994,11,09,2,2,3,3,3,3,3,4,19941109
1994,11,10,2,4,4,3,3,2,2,2,19941110
1994,11,11,2,2,3,3,2,2,1,2,19941111
1994,11,12,1,3,2,2,1,2,2,1,19941112
1994,11,13,2,2,1,2,2,1,2,1,19941113
1994,11,14,2,2,1,3,1,2,2,3,19941114
1994,11,15,2,0,3,3,2,2,2,3,19941115
1994,11,16,2,1,1,1,1,1,1,1,19941116
1994,11,17,1,3,2,1,1,2,2,1,19941117
1994,11,18,1,1,1,2,3,2,2,1,19941118
1994,11,19,3,4,3,3,2,3,3,3,19941119
1994,11,20,3,4,5,5,4,2,2,2,19941120
1994,11,21,2,2,3,2,2,1,1,1,19941121
1994,11,22,1,3,1,3,1,1,1,1,19941122
1994,11,23,1,1,1,2,1,1,0,1,19941123
1994,11,24,1,2,3,1,1,1,2,0,19941124
1994,11,25,0,1,1,0,1,1,2,1,19941125
1994,11,26,0,2,4,7,7,3,3,2,19941126
1994,11,27,3,4,4,5,5,3,3,2,19941127
1994,11,28,2,2,4,4,3,2,2,1,19941128
1994,11,29,1,3,2,3,2,2,2,2,19941129
1994,11,30,3,3,4,5,3,2,2,3,19941130
1994,12,01,3,3,3,3,2,3,2,2,19941201
1994,12,02,3,3,4,4,5,3,3,3,19941202
1994,12,03,4,3,3,2,3,2,2,2,19941203
1994,12,04,1,1,1,3,2,1,2,1,19941204
1994,12,05,1,1,1,3,3,2,1,2,19941205
1994,12,06,2,2,5,3,3,3,3,3,19941206
1994,12,07,3,3,3,3,2,2,2,3,19941207
1994,12,08,3,2,3,3,2,2,2,2,19941208
1994,12,09,4,1,2,3,2,2,3,2,19941209
1994,12,10,3,1,1,2,1,2,2,2,19941210
1994,12,11,1,2,1,1,2,2,3,2,19941211
1994,12,12,3,3,2,2,2,3,2,2,19941212
1994,12,13,3,3,4,2,2,2,1,1,19941213
1994,12,14,2,1,1,2,2,2,2,3,19941214
1994,12,15,2,2,4,4,4,4,3,5,19941215
1994,12,16,3,3,3,2,3,2,1,1,19941216
1994,12,17,2,1,3,2,2,2,1,1,19941217
1994,12,18,1,2,2,1,2,2,1,1,19941218
1994,12,19,0,3,2,3,2,1,1,1,19941219
1994,12,20,2,2,2,2,2,2,2,2,19941220
1994,12,21,1,1,2,1,2,1,0,1,19941221
1994,12,22,1,2,0,0,1,0,0,0,19941222
1994,12,23,2,1,2,3,1,2,2,2,19941223
1994,12,24,3,3,4,4,4,4,4,4,19941224
1994,12,25,4,3,3,3,4,2,2,3,19941225
1994,12,26,3,2,3,3,3,3,3,3,19941226
1994,12,27,3,2,1,2,2,2,3,3,19941227
1994,12,28,3,1,1,2,3,3,2,2,19941228
1994,12,29,3,3,3,3,3,2,1,1,19941229
1994,12,30,1,3,2,2,2,2,1,1,19941230
1994,12,31,1,2,1,2,2,2,2,1,19941231
1995,01,01,1,1,1,2,1,2,2,1,19950101
1995,01,02,1,2,3,3,2,4,4,3,19950102
1995,01,03,4,3,5,3,3,4,3,3,19950103
1995,01,04,4,2,3,4,3,3,3,3,19950104
1995,01,05,3,3,3,4,4,3,3,3,19950105
1995,01,06,2,3,3,4,4,3,3,3,19950106
1995,01,07,2,2,2,3,3,3,2,2,19950107
1995,01,08,2,2,1,2,2,2,2,1,19950108
1995,01,09,1,2,3,1,1,2,2,2,19950109
1995,01,10,1,0,2,2,2,2,2,3,19950110
1995,01,11,2,3,3,3,4,3,2,2,19950111
1995,01,12,2,1,1,1,2,1,1,1,19950112
1995,01,13,1,3,3,3,2,1,2,2,19950113
1995,01,14,1,1,2,1,1,1,1,2,19950114
1995,01,15,0,0,2,1,1,1,1,1,19950115
1995,01,16,2,2,3,5,4,2,3,3,19950116
1995,01,17,2,3,4,5,3,4,4,5,19950117
1995,01,18,5,6,5,4,2,2,2,2,19950118
1995,01,19,2,2,2,2,2,2,2,2,19950119
1995,01,20,2,1,1,2,1,1,2,2,19950120
1995,01,21,2,2,2,1,1,2,2,1,19950121
1995,01,22,2,2,1,1,3,2,1,1,19950122
1995,01,23,2,3,1,1,1,2,2,1,19950123
1995,01,24,1,1,1,2,1,1,2,1,19950124
1995,01,25,1,2,1,2,1,1,0,0,19950125
1995,01,26,1,0,0,2,1,1,1,0,19950126
1995,01,27,1,0,0,2,1,1,1,0,19950127
1995,01,28,1,1,1,1,0,1,2,1,19950128
1995,01,29,1,4,2,4,4,3,4,5,19950129
1995,01,30,4,6,4,4,4,4,4,3,19950130
1995,01,31,5,4,4,2,3,3,3,3,19950131
1995,02,01,2,3,3,3,2,2,3,2,19950201
1995,02,02,3,3,4,5,4,4,3,3,19950202
1995,02,03,4,4,4,3,4,3,4,3,19950203
1995,02,04,5,4,4,3,3,3,2,2,19950204
1995,02,05,2,2,2,1,1,2,2,1,19950205
1995,02,06,2,2,2,2,2,3,2,2,19950206
1995,02,07,2,3,2,2,1,1,1,4,19950207
1995,02,08,4,5,5,5,5,3,2,2,19950208
1995,02,09,2,3,2,2,1,2,1,1,19950209
1995,02,10,1,1,1,1,1,2,1,1,19950210
1995,02,11,2,2,5,3,5,3,3,3,19950211
1995,02,12,4,4,3,4,3,4,3,3,19950212
1995,02,13,4,3,5,5,5,5,3,3,19950213
1995,02,14,5,4,3,4,5,3,3,2,19950214
1995,02,15,3,3,3,3,2,3,3,3,19950215
1995,02,16,2,2,2,2,2,3,1,2,19950216
1995,02,17,1,2,2,2,2,2,2,2,19950217
1995,02,18,3,3,2,3,2,2,2,2,19950218
1995,02,19,1,2,1,1,1,1,1,2,19950219
1995,02,20,1,1,2,1,1,1,1,0,19950220
1995,02,21,1,1,1,2,1,1,1,1,19950221
1995,02,22,0,0,1,1,0,0,0,0,19950222
1995,02,23,0,1,2,2,2,1,1,0,19950223
1995,02,24,0,0,2,1,1,1,1,0,19950224
1995,02,25,0,0,0,0,0,1,1,1,19950225
1995,02,26,1,3,4,3,3,3,2,3,19950226
1995,02,27,2,3,3,5,4,3,4,3,19950227
1995,02,28,4,3,5,5,3,3,4,4,19950228
1995,03,01,3,4,4,5,2,4,3,3,19950301
1995,03,02,3,5,5,4,3,4,2,2,19950302
1995,03,03,3,2,2,2,2,2,2,1,19950303
1995,03,04,2,2,2,3,4,3,3,6,19950304
1995,03,05,4,2,2,4,3,3,3,2,19950305
1995,03,06,2,3,2,2,1,2,2,1,19950306
1995,03,07,1,1,1,1,1,2,1,1,19950307
1995,03,08,2,2,1,1,0,1,1,1,19950308
1995,03,09,1,3,3,2,2,2,4,4,19950309
1995,03,10,4,3,3,2,3,3,3,2,19950310
1995,03,11,4,3,4,1,3,3,3,5,19950311
1995,03,12,5,5,4,3,3,3,3,4,19950312
1995,03,13,3,4,5,5,5,5,4,3,19950313
1995,03,14,3,4,3,4,4,3,3,2,19950314
1995,03,15,3,3,4,3,3,2,2,3,19950315
1995,03,16,3,3,3,3,2,3,3,2,19950316
1995,03,17,2,3,3,2,3,3,3,2,19950317
1995,03,18,2,2,2,2,8,2,2,2,19950318
1995,03,19,2,1,2,2,2,2,2,2,19950319
1995,03,20,1,1,1,1,3,3,2,2,19950320
1995,03,21,1,1,2,0,2,2,2,1,19950321
1995,03,22,0,1,1,1,1,2,1,1,19950322
1995,03,23,1,1,1,2,3,3,2,3,19950323
1995,03,24,2,1,1,1,2,2,2,1,19950324
1995,03,25,1,3,2,2,2,1,1,1,19950325
1995,03,26,2,1,4,6,6,4,4,3,19950326
1995,03,27,3,1,4,4,5,3,3,3,19950327
1995,03,28,3,3,5,3,3,3,3,2,19950328
1995,03,29,3,5,4,4,4,2,2,3,19950329
1995,03,30,3,3,3,2,3,2,1,1,19950330
1995,03,31,1,2,2,3,2,2,2,2,19950331
1995,04,01,1,1,1,1,2,3,3,4,19950401
1995,04,02,4,5,2,4,4,2,2,1,19950402
1995,04,03,1,1,0,1,1,1,1,1,19950403
1995,04,04,1,0,*,1,1,1,1,1,19950404
1995,04,05,2,2,1,3,2,1,3,2,19950405
1995,04,06,2,1,1,0,1,1,2,3,19950406
1995,04,07,4,6,7,6,6,7,6,5,19950407
1995,04,08,3,5,5,6,4,5,3,3,19950408
1995,04,09,4,4,4,4,3,3,3,3,19950409
1995,04,10,3,4,4,5,4,3,2,3,19950410
1995,04,11,2,4,4,5,2,2,3,3,19950411
1995,04,12,4,4,3,3,3,2,3,2,19950412
1995,04,13,3,3,3,2,2,2,1,2,19950413
1995,04,14,2,2,1,1,1,1,1,2,19950414
1995,04,15,2,2,1,1,1,2,2,1,19950415
1995,04,16,1,1,2,1,1,1,2,2,19950416
1995,04,17,2,1,1,2,1,1,1,2,19950417
1995,04,18,3,1,2,2,1,2,1,1,19950418
1995,04,19,3,3,3,1,1,3,3,2,19950419
1995,04,20,2,4,3,2,2,2,2,1,19950420
1995,04,21,1,0,0,0,1,1,1,1,19950421
1995,04,22,1,2,0,2,3,3,4,3,19950422
1995,04,23,4,3,4,5,3,3,2,4,19950423
1995,04,24,4,6,5,3,3,3,3,3,19950424
1995,04,25,3,5,3,2,3,2,2,2,19950425
1995,04,26,3,4,3,3,3,3,3,4,19950426
1995,04,27,3,3,6,4,3,2,2,2,19950427
1995,04,28,2,4,3,4,3,2,2,1,19950428
1995,04,29,2,2,3,2,3,1,2,2,19950429
1995,04,30,2,1,1,1,2,1,1,2,19950430
1995,05,01,1,1,1,0,2,2,2,2,19950501
1995,05,02,2,5,5,4,4,5,4,5,19950502
1995,05,03,5,6,6,6,4,3,3,4,19950503
1995,05,04,4,6,6,3,3,3,3,3,19950504
1995,05,05,4,5,6,6,5,3,3,3,19950505
1995,05,06,5,4,5,5,3,2,3,2,19950506
1995,05,07,3,3,4,4,4,2,3,4,19950507
1995,05,08,4,5,3,3,4,3,3,3,19950508
1995,05,09,3,3,3,3,2,2,2,2,19950509
1995,05,10,2,2,1,2,2,1,2,2,19950510
1995,05,11,3,2,3,1,2,2,2,2,19950511
1995,05,12,2,2,3,2,2,2,2,2,19950512
1995,05,13,2,3,3,6,3,2,2,3,19950513
1995,05,14,1,3,3,1,2,2,1,1,19950514
1995,05,15,2,2,1,1,1,2,2,2,19950515
1995,05,16,3,4,5,4,6,4,4,5,19950516
1995,05,17,4,6,6,5,3,3,3,3,19950517
1995,05,18,3,2,2,3,3,2,3,3,19950518
1995,05,19,3,3,4,2,3,3,3,3,19950519
1995,05,20,3,3,3,4,2,2,3,3,19950520
1995,05,21,3,2,2,1,2,1,2,2,19950521
1995,05,22,3,2,2,2,2,2,2,2,19950522
1995,05,23,2,1,2,2,3,3,4,4,19950523
1995,05,24,4,6,6,5,3,3,2,2,19950524
1995,05,25,3,4,3,2,2,3,3,2,19950525
1995,05,26,2,2,2,4,4,2,3,2,19950526
1995,05,27,2,3,2,2,2,2,2,1,19950527
1995,05,28,1,3,3,1,2,2,1,1,19950528
1995,05,29,2,2,2,2,2,2,3,2,19950529
1995,05,30,2,4,5,6,5,4,4,4,19950530
