Sentence,Title,SourceTextType
recognizing the different challenges and needs in research observation and modeling in the three key research areas the sun and heliosphere the magnetosphereionospherethermospheremesosphere system and the ground effects respectively chapters   and focus on each of these areas separately,SpaceWeatherOpsResearch,academicArticle
the final two chapters cover the entire sunearth system in discussing modeling and validation needs of the space weather research community chapter  and the future architectures needed to establish a robust research infrastructure chapter ,SpaceWeatherOpsResearch,academicArticle
addressing future capabilities implies a time scale,SpaceWeatherOpsResearch,academicArticle
most of the workshop presentations and discussions focused on already existing or shortly upcoming capabilities and assets as well as the impact of space weather on nearterm technological developments eg the impact on systems that will increasingly rely on precision navigation and timing,SpaceWeatherOpsResearch,academicArticle
given the focus of the discussions this proceedings covers a time scale of perhaps the next  years,SpaceWeatherOpsResearch,academicArticle
finally it is to be noted that following national academies practices this proceedings of a workshop does not include findings or recommendations,SpaceWeatherOpsResearch,academicArticle
while the workshop organizers sought to get the widest pos sible representation the contents of this proceedings are limited to the discussions and presentations givenplanning the future space weather operations and research infrastructure proceedings of the phase ii workshop copyright national academy of sciences,SpaceWeatherOpsResearch,academicArticle
all rights reservedplanning the future space weather operations and research infrastructure proceedings of the phase ii workshop copyright national academy of sciences,SpaceWeatherOpsResearch,academicArticle
all rights reserved,SpaceWeatherOpsResearch,academicArticle
xi reviewers this proceedings of a workshop was reviewed in draft form by individuals chosen for their diverse perspectives and technical expertise,SpaceWeatherOpsResearch,academicArticle
the purpose of this independent review is to provide candid and criti cal comments that will assist the national academies of sciences engineering and medicine in making each published proceedings as sound as possible and to ensure that it meets the institutional standards for quality objectivity evidence and responsiveness to the charge,SpaceWeatherOpsResearch,academicArticle
the review comments and draft manuscript remain confidential to protect the integrity of the process,SpaceWeatherOpsResearch,academicArticle
we thank the following individuals for their review of this proceedings seebany dattabarua illinois institute of technology christine gabrielse the aerospace corporation joe giacalone university of arizona david hysell cornell university susan lepri university of michigan and harlan spence university of new hampshire,SpaceWeatherOpsResearch,academicArticle
although the reviewers listed above provided many constructive comments and suggestions they were not asked to endorse the content of the proceedings nor did they see the final draft before its release,SpaceWeatherOpsResearch,academicArticle
the review of this proceedings was overseen by louis j lanzerotti nae new jersey institute of technology,SpaceWeatherOpsResearch,academicArticle
he was responsible for making certain that an independent examination of this proceedings was carried out in accordance with standards of the national academies and that all review comments were care fully considered,SpaceWeatherOpsResearch,academicArticle
responsibility for the final content rests entirely with the authoring committee and the national academiesplanning the future space weather operations and research infrastructure proceedings of the phase ii workshop copyright national academy of sciences,SpaceWeatherOpsResearch,academicArticle
all rights reservedplanning the future space weather operations and research infrastructure proceedings of the phase ii workshop copyright national academy of sciences,SpaceWeatherOpsResearch,academicArticle
all rights reserved,SpaceWeatherOpsResearch,academicArticle
xiii contents summary the space weather community agency updates interagency partnerships new ways of working user community and operations diversity in workforce references research observation and modeling needs the sun and heliosphere keynotes the sun the solar wind references research observation and modeling needs magnetosphere ionosphere thermosphere and mesosphere the magnetosphere ionosphere and thermosphere crossscale and crossregion coupling references research observation and modeling needs ground effects research needs observation and modeling needs planning the future space weather operations and research infrastructure proceedings of the phase ii workshop copyright national academy of sciences,SpaceWeatherOpsResearch,academicArticle
all rights reserved,SpaceWeatherOpsResearch,academicArticle
xiv contents modeling validation and data science keynotes data assimilation and machine learning machine learning and validation data fusion and assimilation ensemble modeling data and model resources and curation research infrastructure the sun and the heliosphere magnetosphere ionosphere and thermosphere reference appendixes a statement of task b workshop agenda c poster session at the april   workshop d acronyms and abbreviations e biographies of committee members and staff planning the future space weather operations and research infrastructure proceedings of the phase ii workshop copyright national academy of sciences,SpaceWeatherOpsResearch,academicArticle
all rights reserved,SpaceWeatherOpsResearch,academicArticle
summary in  the national academies of sciences engineering and medicine were approached by officials from the national environmental satellite data and information service nesdis of the national oceanic and atmospheric administration noaa the heliophysics division of the national aeronautics and space administration nasa and the geospace section at the national science foundation nsf to organize a workshop that would examine the operational and research infrastructure that supports the space weather enterprise including an analysis of existing and potential future measurement gaps and opportunities for future enhancements,SpaceWeatherOpsResearch,academicArticle
that workshop phase i focused on space weather operations including measure ment continuity needs and a proceedings summarizing the workshop was published in ,SpaceWeatherOpsResearch,academicArticle
subsequently nasa noaa and nsf requested a followon workshop that would focus on the research agenda and observations needed to improve scientific understanding of the sunearth interactions that cause space weather,SpaceWeatherOpsResearch,academicArticle
a summary of the workshop is presented in this proceedings,SpaceWeatherOpsResearch,academicArticle
current space weather efforts the us space weather community includes a number of stakeholders both in and outside the federal government,SpaceWeatherOpsResearch,academicArticle
nasa is currently establishing a space weather program within its heliophysics division,SpaceWeatherOpsResearch,academicArticle
this reflects the newly broadened role of heliophysics in the researchtooperationsoperationstoresearch ror process providing space weather information to lunar and planetary endeavors as well as develop ing new applications for impact mitigation,SpaceWeatherOpsResearch,academicArticle
for example the hermes instrument package to be placed on the lunarorbiting gateway will make space weather measurements to support lunar operations and dem onstrate technologies needed to conduct a human mission to mars,SpaceWeatherOpsResearch,academicArticle
the heliophysics system observatory hso provides observations for basic and applicationsfocused research as well as realtime operations,SpaceWeatherOpsResearch,academicArticle
nsf is carrying out a variety of space weather efforts housed in multiple nsf directorates for exam ple the directorate of geosciences supports the coupling energetics and dynamics of atmospheric national academies of sciences engineering and medicine  planning the future space weather operations and research infrastructure proceedings of a workshop washington dc the national academies press the future space weather operations and research infrastructure proceedings of the phase ii workshop copyright national academy of sciences,SpaceWeatherOpsResearch,academicArticle
all rights reserved,SpaceWeatherOpsResearch,academicArticle
planning the future space weather operations and research infrastructure regions cedar geospace environment modeling gem and solar heliospheric and interplanetary environment shine programs as well as facilities such as the national center for atmospheric research ncar,SpaceWeatherOpsResearch,academicArticle
the directorate for mathematical and physical sciences supports the national solar observatory and the division of physics supports plasma physics research,SpaceWeatherOpsResearch,academicArticle
nsf also supports a wide network of observ ing facilities including solar telescopes magnetometer networks radars neutron monitors and networks of citizenscience measurements,SpaceWeatherOpsResearch,academicArticle
although the nsfsupported observing network is primarily groundbased nsf also supports balloonbased instrumentation as well as cubesats and publicprivate partnerships with the space industry,SpaceWeatherOpsResearch,academicArticle
an important priority for nsf is the development of the space science workforce,SpaceWeatherOpsResearch,academicArticle
the department of defense space weather program has recently been reorganized within the us space force under space domain awareness,SpaceWeatherOpsResearch,academicArticle
the goal of that effort is to create a holistic picture of the environment within which operations are conducted with the inclusion of specific system impacts,SpaceWeatherOpsResearch,academicArticle
reaching that goal will involve development of an integrated software suite consisting of data models and applications as well as interagency agreements which are being established to facilitate sharing of data between agencies using open architectures and enabling all participating agencies to improve their capabilities eg those concerning commercial space traffic management,SpaceWeatherOpsResearch,academicArticle
the noaa space weather charter complements those of the other agencies and focuses on capacity building to advance space weather policy services research and operations,SpaceWeatherOpsResearch,academicArticle
noaas plans for improve ment of space weather services involves  sustaining fundamental observations  providing accurate models and forecast products  transitioning scientific and technological advances into operations and  supporting the private sector to fill data and technology gaps and to provide valueadded services,SpaceWeatherOpsResearch,academicArticle
noaas new operations paradigm combines the establishment of dedicated operational observing systems with modeling and service improvements to provide forecasts warnings and data,SpaceWeatherOpsResearch,academicArticle
furthermore space weather has recently become a third pillar in noaas nesdis structure which aims to provide an inte grated digital understanding of earths environment,SpaceWeatherOpsResearch,academicArticle
noaas longterm support for nasas crewed missions was continued by the recently signed nasanoaa interagency agreement on providing space radiation environment support to all human spaceflight missions including the international space station and lunar artemis and martian crewed missions,SpaceWeatherOpsResearch,academicArticle
noaas office of space commerce is prototyping an openarchitecture data repository oadr environment to facilitate researchtooperations ro efforts related to space traffic management,SpaceWeatherOpsResearch,academicArticle
a central element of the us national space weather effort is the national space weather strategy and action plan nswsap which was put in place in ,SpaceWeatherOpsResearch,academicArticle
us space weather activities are overseen by the space weather operations research and mitigation subcommittee in the office of science and technol ogy policy,SpaceWeatherOpsResearch,academicArticle
the proswift act signed into law on october   codifies us policy to prepare and protect against the social and economic impacts of space weather,SpaceWeatherOpsResearch,academicArticle
it mandated the establishment of a space weather interagency working group to coordinate executive branch actions to improve understanding and prediction of space weather phenomena and a space weather advisory group to receive advice from academia the commercial sector and space weather end users,SpaceWeatherOpsResearch,academicArticle
in addition the national academies space weather roundtable and nasas space weather council help support communication and coordination among the agencies in the space weather effort,SpaceWeatherOpsResearch,academicArticle
priorities in updating the nswsap include the ror framework benchmarks activity scales hazard mapping human exploration space situational awareness aviation and continuity of satellite observations,SpaceWeatherOpsResearch,academicArticle
the intent expressed in the nswsap is to provide a formal interagency structure to ensure an effective space weather ror process,SpaceWeatherOpsResearch,academicArticle
this report frequently references the term space traffic management however other terms in common use are space traffic awareness and space traffic coordinationplanning the future space weather operations and research infrastructure proceedings of the phase ii workshop copyright national academy of sciences,SpaceWeatherOpsResearch,academicArticle
all rights reserved,SpaceWeatherOpsResearch,academicArticle
summary the us commercial sector particularly electric power and aviation industries has a long history of using space weather observations and forecasts in decision making,SpaceWeatherOpsResearch,academicArticle
for example the north american electric reliability corporation nerc has developed mandatory standards for grid operators for risk assessment and mitigation especially concerning extreme events thus guiding old and new operators in the field,SpaceWeatherOpsResearch,academicArticle
space industry on the other hand is booming and bringing new actors to the field which has created a need to educate new satellite providers and operators on how to adapt to and mitigate space weather hazards,SpaceWeatherOpsResearch,academicArticle
for most space weather applications having the longest possible forecast lead time ideally hours in advance is of key importance,SpaceWeatherOpsResearch,academicArticle
however there are significant challenges in reaching this objective including the availability of the required observations the level of scientific understand ing of processes that underlie space weather phenomena and the intrinsic time scales of the processes themselves,SpaceWeatherOpsResearch,academicArticle
research needs space weather lies at the intersection of the natural space environment object of fundamental sci entific research and hazards to human systems and technology addressed by operational communities interested in engineering risk mitigation,SpaceWeatherOpsResearch,academicArticle
this intersection includes applied science and engineering as well as ro activities,SpaceWeatherOpsResearch,academicArticle
space weather impacts can be broken into five categories  hazards affecting spaceborne technol ogy caused by direct drivers from the sun eg solar flares and radio bursts  radiation effects eg on technology and humans aboard spacecraft and aircraft  ionospheric effects eg affecting satellite communication navigation and highfrequency hf radio communications  thermospheric expansion orbital changes and collision hazards of satellites and other objects and  geomagnetically induced currents gics which can lead to damage to power systems on the ground,SpaceWeatherOpsResearch,academicArticle
reaching the level of understanding required to predict geospace system behavior requires a systems approach involving coordinated and concurrent spaceborne and groundbased measurements combined with advanced data science modernized data infrastructure and modeling tools,SpaceWeatherOpsResearch,academicArticle
for example in order to better understand the behavior of coronal mass ejections one of the key drivers of space weather it is important to track their evolution in real time and in three dimensions as they travel toward and impact earth,SpaceWeatherOpsResearch,academicArticle
however such level of coordination is not reflected in the current infrastructure while past and current nasa space missions have been combined into the heliophysics system observatory this system has not been strategically planned from a systemsscience perspective,SpaceWeatherOpsResearch,academicArticle
as each new mission is evaluated on its individual science goals any systems science approaches have been and will be on an ad hoc basis,SpaceWeatherOpsResearch,academicArticle
furthermore the groundbased measurements suffer from a similar lack of coordination,SpaceWeatherOpsResearch,academicArticle
since systems science requires an extensive simultaneously operational fleet it would greatly benefit from international collaboration,SpaceWeatherOpsResearch,academicArticle
multisatellite missions are necessary for understanding the processes that take place over vast regions of space at many different scales and technological advances now enable missions to study conditions and processes from the smallest scale to mesoscales and the entire magnetosphereionospherethermosphere system,SpaceWeatherOpsResearch,academicArticle
however such missions require substantial investments in intercalibration of the observing instru ments as well as developing robust methods to incorporate data into interpretive models,SpaceWeatherOpsResearch,academicArticle
constellations covering a range of scales are important for understanding processes that extend from the solar atmosphere t pulkkinen  space weather terrestrial perspective living reviews solar physics  ,SpaceWeatherOpsResearch,academicArticle
note that the small scale and mesoscale definitions are regiondependent with the ionospheric small to mesoscales being from tens of meters to  km and magnetospheric scales ranging from tens of kilometers to a few earth radiiplanning the future space weather operations and research infrastructure proceedings of the phase ii workshop copyright national academy of sciences,SpaceWeatherOpsResearch,academicArticle
all rights reserved,SpaceWeatherOpsResearch,academicArticle
planning the future space weather operations and research infrastructure and inner heliosphere to the nearearth space environment,SpaceWeatherOpsResearch,academicArticle
similarly it was noted by some participants that a dense network of groundbased and spacebased geophysical observatories including those operated by the private sector will be required to provide highconfidence long leadtime predictions of gics and other hazards to power systems and other technological assets,SpaceWeatherOpsResearch,academicArticle
extreme events are rare and their impacts are neither well understood nor well represented by existing models,SpaceWeatherOpsResearch,academicArticle
currently available data sets which are dominated by quiet space weather pose challenges for machine learning models as well as validation of physicsbased models when they try to address very high activity periods,SpaceWeatherOpsResearch,academicArticle
continuous monitoring of space weather is needed to observe rare space weather events,SpaceWeatherOpsResearch,academicArticle
however observation of such events was said to provide a unique opportunity to increase knowledge of their impacts on the space environment on the upper atmosphere and on the ground and spacebased technological systems,SpaceWeatherOpsResearch,academicArticle
these considerations point to the following detailed research needs tracking the entire system the nasa gap analysis report lists top observational priorities solar and solar wind observations including observations off the sunearth line and the solar wind near earth plasma sheet electron and ion injectionsbursts from the magnetotail into geosynchronous orbit and medium earth orbit regions ring current and radiation belt electron acceleration pro cesses ionospheric and thermospheric key parameters and ionospheric d and eregion energetic particle precipitation as well as e and fregion cusp and auroral region precipitation,SpaceWeatherOpsResearch,academicArticle
understanding global couplings significant efforts are being devoted to finding ways to couple regimes eg solar wind to magnetosphere physical transitions eg plasmadominated versus magneticpressuredominated plasmas high versus low alfvn speed plasmas collisional versus collisionless plasmas and spatial scales eg magnetohydrodynamic versus kinetic plasmas,SpaceWeatherOpsResearch,academicArticle
such multiscale and multistep processes are important in understanding the physics of space weather but they are not well observed or well modeled,SpaceWeatherOpsResearch,academicArticle
this is especially true for the ionosphere which is coupled to the magnetosphere and solar wind from above but also to the thermosphere and even the stratosphere from below the forcing from below is an important but often neglected aspect of space weather,SpaceWeatherOpsResearch,academicArticle
realtime monitoring such monitoring is critical for both nowcasting and forecasting but it creates extra challenges for data downlinking systems and capacity and also places additional requirements on researchfocused missions which generally are not concerned with realtime monitoring,SpaceWeatherOpsResearch,academicArticle
validating models observing system simulation experiments osses can be invaluable in provid ing costbenefit analyses of adding additional measurements to improve model performance,SpaceWeatherOpsResearch,academicArticle
in addition osses can be conducted to identify missing physics and to improve the assessment of model errors and error sources,SpaceWeatherOpsResearch,academicArticle
reaching out to neighboring fields for example collaboration with plasma physics researchers data scientists and earth scientists would be beneficial for gaining new numerical and computa tional tools to space weather science,SpaceWeatherOpsResearch,academicArticle
modeling and validation current operational space weather models include large physicsbased models that treat the system elements from the sun to the upper atmosphere and ground,SpaceWeatherOpsResearch,academicArticle
experiences from the terrestrial weather community indicate that the way to improve the accuracy of predictions is to increase model resolution computational power improve representation of physical processes scientific understanding and use advanced data assimilation techniques new analysis methodsplanning the future space weather operations and research infrastructure proceedings of the phase ii workshop copyright national academy of sciences,SpaceWeatherOpsResearch,academicArticle
all rights reserved,SpaceWeatherOpsResearch,academicArticle
summary data needs are still pressing becausedespite the large data sets already acquiredthe data are often not well matched to modeling needs,SpaceWeatherOpsResearch,academicArticle
the lack of suitable data arises either because of the quality or for  mat of available data or because the models need measurements that are not made at all are not made at the right locations or are not made at sufficient cadence,SpaceWeatherOpsResearch,academicArticle
since even large data sets contain only a small number of extreme events the lack of data remains a challenge for many of the new data analysis and modeldevelopment methodologies being employed,SpaceWeatherOpsResearch,academicArticle
in particular the space weather community does not yet have the data needed to create standardized data products suited for machine learning applications,SpaceWeatherOpsResearch,academicArticle
as the need is to acquire simultaneous observations from as many locations as possible data buys from private companies operating instruments onboard commercial satellites offer a potential solution for some of the data sparsity issues assuming that the required instruments and data products would be available,SpaceWeatherOpsResearch,academicArticle
the space weather community is becoming increasingly multidisciplinary as optimal use of new methods such as ensemble modeling data assimilation or machine learning requires bringing in experts from computer science earth sciences space technology and other fields,SpaceWeatherOpsResearch,academicArticle
while these methods have been applied in other fields to other data sets their application to space weather prediction problems requires development of dedicated data sets as well as methods tuned to the specific problem ie substantial cross disciplinary learning between the discipline scientists and the methodology developers,SpaceWeatherOpsResearch,academicArticle
furthermore due to the large system size ensemble models data assimilation and machine learning applications often need computing and data storage resources that push the current capacity of even the largest supercomputing facilities,SpaceWeatherOpsResearch,academicArticle
in particular space weather must address the following modeling and validation issues ensemble modeling data assimilation and machine learning are methodologies that have the potential to significantly improve space weather predictions,SpaceWeatherOpsResearch,academicArticle
however each of these methodolo gies is currently limited in its application,SpaceWeatherOpsResearch,academicArticle
ensemble modeling is currently limited by computing and data storage resources data assimilation will require development of solutions suited for the sparse space physics data and machine learning is currently limited both by data quality and data quantity particularly concerning extreme events,SpaceWeatherOpsResearch,academicArticle
machine learning models for space weather produce best results when aimed at both understanding the underlying physical phenomena and producing the more typical machine learning black box predictions,SpaceWeatherOpsResearch,academicArticle
data scarcity is a real issue the too often too quiet problem arises because space weather data sets are dominated by quiet conditions containing only as rare occurrences storms that are of relevance to severe space weather,SpaceWeatherOpsResearch,academicArticle
this creates a serious problem for any machine learning algorithm and it also poses challenges for defining meaningful metrics that assess the ability of a model to predict interesting but rare events,SpaceWeatherOpsResearch,academicArticle
interdisciplinary teams courses and programs are needed to train the next generation of space physicists,SpaceWeatherOpsResearch,academicArticle
in particular it is important to see that a sufficient fraction of the community is equipped with the machine learning skills and knowledge they will need in their research and applied work,SpaceWeatherOpsResearch,academicArticle
research infrastructure capabilities have steadily increased in spacecraft development launch systems modeling and data analytics instrumentation and commercial data product services,SpaceWeatherOpsResearch,academicArticle
this has led to a changed vision for the future science missions infrastructure and operations on top of the science priorities to increase under  standing of the solarterrestrial environment the ror cycles should be included in the planning from the beginning,SpaceWeatherOpsResearch,academicArticle
these emerging trends will play a major role in shaping future architectures,SpaceWeatherOpsResearch,academicArticle
central themes on the topic of infrastructure are the need for resources and the need to plan aheadplanning the future space weather operations and research infrastructure proceedings of the phase ii workshop copyright national academy of sciences,SpaceWeatherOpsResearch,academicArticle
all rights reserved,SpaceWeatherOpsResearch,academicArticle
planning the future space weather operations and research infrastructure a key theme that appeared across sessions was the need to increase the operational infrastructure by incorporating data from scientific or future commercial missions into operations,SpaceWeatherOpsResearch,academicArticle
this will require for example intercalibration of science instruments so that data sets from different missions can be incorpo rated into operational models,SpaceWeatherOpsResearch,academicArticle
preplanning and coordination between the science and operations agencies are needed to address potential issues regarding calibration data uniformity and latency,SpaceWeatherOpsResearch,academicArticle
noaa has established a program of record that identifies the essential observations that must continu ously be obtained,SpaceWeatherOpsResearch,academicArticle
these include observations of the sun the solar wind the geostationary environment and the ionosphere,SpaceWeatherOpsResearch,academicArticle
while academic research can often use data after the fact some key information about the sun and the heliosphere needs to be provided in near realtime to enable operational decisions,SpaceWeatherOpsResearch,academicArticle
commercial data buys have the potential to produce new data products at substantially lower cost and on a faster schedule than existing contractual mechanisms as launch services data services spacecraft systems and operations are all becoming more commoditized,SpaceWeatherOpsResearch,academicArticle
moreover the space weather research community could greatly benefit from gaining access to already existing infrastructure instead of building new infrastructure,SpaceWeatherOpsResearch,academicArticle
an example of such opportunities would be the use of commercial and department of defense communication networks to provide data downlink and reducedlatency services,SpaceWeatherOpsResearch,academicArticle
while commercial data acquisition may offer valuable opportunities the use of such data faces signifi cant challenges,SpaceWeatherOpsResearch,academicArticle
first and foremost the vendors must be offered an appealing value proposition to hosting an instrument or providing data as the task requires additional effort and customization on their part,SpaceWeatherOpsResearch,academicArticle
a further challenge of providing nasafunded custom instruments to commercial spacecraft is that the us government procurement processes are not well suited to engaging with commercial providers who tend to move faster and have different commitment processes,SpaceWeatherOpsResearch,academicArticle
regardless of the instrument developer there may be proprietary concerns that limit getting the necessary metadata needed to validate and calibrate the data sets,SpaceWeatherOpsResearch,academicArticle
lastly after acquisition resources must be allocated for archiving validation verification and distribution of the data,SpaceWeatherOpsResearch,academicArticle
costbenefit analyses will be needed to weigh the issues related to rideshare instrument data quality and the possibly nonoptimal distribution of observing locations,SpaceWeatherOpsResearch,academicArticle
new ways of doing business and managing programs will be needed in order to increase the efficiency of the manufacturing and operation of satellite constellations as well as the efficiency of their data delivery,SpaceWeatherOpsResearch,academicArticle
novel approaches to building instruments that can be effectively used for both research and space weather observations should be examined,SpaceWeatherOpsResearch,academicArticle
systemslevel approaches are needed to address gaps arising from the sparse fleet including coverage across the multiple scales,SpaceWeatherOpsResearch,academicArticle
the large data volumes now being produced require new capabilities for managing storing and accessing the data including techniques for processing data onboard the spacecraft,SpaceWeatherOpsResearch,academicArticle
resources and agency coordination will be needed especially to ensure that instruments will be avail able and operational as needed,SpaceWeatherOpsResearch,academicArticle
commercial and other operators will need to be supported and incentivized to support space weather measurements,SpaceWeatherOpsResearch,academicArticle
while cited as not particularly glamorous work this is necessary to obtain the ground and spacebased infrastructure needed for accurate space weather predictions,SpaceWeatherOpsResearch,academicArticle
the particular infrastructure needs for space weather include the following monitoring the solar source space weather forecasts need more complete ie threedimensional coverage of the sun and heliosphere along with more comprehensive highresolution in both time and energy measurements of the solar wind,SpaceWeatherOpsResearch,academicArticle
for predicting and understanding the solar corona it is critically important to continuously monitor the photospheric magnetic field,SpaceWeatherOpsResearch,academicArticle
such steradian see for example national oceanic atmospheric administration space weather program formulation noaagovsitesdefaultfilessessioniiitalaatelsayedsecondspaceweatherprogramformulationpdf accessed july   or noaa national satellite and information service  noaas current and future space weather architecture nationalacademiesorgeventdocsdddbbadbefffbbaefcplanning the future space weather operations and research infrastructure proceedings of the phase ii workshop copyright national academy of sciences,SpaceWeatherOpsResearch,academicArticle
all rights reserved,SpaceWeatherOpsResearch,academicArticle
summary coverage can be obtained by outoftheecliptic architectures that can provide threedimensional reconstruction of incoming transients,SpaceWeatherOpsResearch,academicArticle
the l and l vantage points offer unique views with the l monitors more useful for measuring active regions likely to launch coronal mass ejections earthward and l being more useful for monitoring earthwardheading solar energetic particles,SpaceWeatherOpsResearch,academicArticle
observing solar wind heavy ion composition knowledge about the heavy ion composition of the solar wind is a significant gap in current in situ plasma measurements,SpaceWeatherOpsResearch,academicArticle
the composition measure ments are key in differentiating highspeed streams from interplanetary coronal mass ejections icmes in identifying the internal structure of the icme and in constraining the models of coro nal mass ejection initiation energization heating release and propagation,SpaceWeatherOpsResearch,academicArticle
they are essential to improve scientific understanding of solar wind structures which will enable better nowcasting and the quantification of the total mass and pressure of a space weather event,SpaceWeatherOpsResearch,academicArticle
bridging the gap in heliophysics between the sun and geospace currently a major gap exists between the study of the sun and of geospace,SpaceWeatherOpsResearch,academicArticle
to bridge the gap and to predict space weather events from the solar transients to the geospace effects requires new architectures that fuse research in both areas,SpaceWeatherOpsResearch,academicArticle
