Sentence,Title,SourceTextType,SentimentLabel,SentimentScore
examine trends in available and anticipated observations including the use of constellations of small satellites hosted payloads groundbased systems international collaborations and data buys that are likely to drive future space weather architectures review existing and developing technologies for both research and observations ,SpaceWeatherOpsResearch,academicArticle,positive,0.415770947933197
consider the adequacy and uses of existing relevant programs across the agencies including nasas living with a star lws program and its space weather science application initiative nsfs geospace research programs and noaas research to operations ro and operations to research or programs for reaching the goals described above ,SpaceWeatherOpsResearch,academicArticle,positive,0.42694157361984253
consider needs gaps and opportunities in space weather modeling and validation including a review of the status of data assimilation and ensemble approaches ,SpaceWeatherOpsResearch,academicArticle,positive,0.41295504570007324
consider how to incorporate data from nasa missions that are oneoff or otherwise nonoperational into operational environments and assess the value and need for realtime data eg by providing beacons on nasa research missions to improve forecasting models and ,SpaceWeatherOpsResearch,academicArticle,positive,0.4403128921985626
take into account the results of studies including nasas space weather science gap analysis part of the nasa heliophysics divisions space weather science application program and the nsf report investments in critical capabilities for geospace science  to identify the key elements needed to establish a robust research infrastructure,SpaceWeatherOpsResearch,academicArticle,positive,0.4045884311199188
the phase ii workshop conducted virtually due to covid travel restrictions occurred on april   with sessions on agency updates research needs data science observational and modeling needs and emerging architectures relevant to the space weather research community and with ties to operational needs,SpaceWeatherOpsResearch,academicArticle,neutral,0.4049140214920044
the presentations posters and videos can be found on the project website space weather opera tions and research infrastructure workshop phase ii,SpaceWeatherOpsResearch,academicArticle,positive,0.4591509997844696
robert pool served as a rapporteur for the workshop and provided the committee with an initial draft of the proceedings,SpaceWeatherOpsResearch,academicArticle,positive,0.42072489857673645
the workshop organizing committee planned the sessions by creating a list of questions that would guide the invited speakers to address the workshop task statement issues,SpaceWeatherOpsResearch,academicArticle,neutral,0.4497373402118683
each session was led by a member of the organizing committee,SpaceWeatherOpsResearch,academicArticle,neutral,0.45440736413002014
the present proceedings is organized around the workshop agenda appendix b modified for clarity and conciseness,SpaceWeatherOpsResearch,academicArticle,positive,0.4371846318244934
each chapter starts with a summary of major themes emerging from the workshop presentations and discussions that are relevant to the statement of task,SpaceWeatherOpsResearch,academicArticle,neutral,0.4287175238132477
it should be noted that the workshop speakers did not provide direct answers to the task element on the national academies of sciences engineering and medicine  planning the future space weather operations and research infrastructure proceedings of a workshop washington dc the national academies press national academies of sciences engineering and medicine space weather operations and research infrastructure workshop phase ii phaseii accessed july  planning the future space weather operations and research infrastructure proceedings of the phase ii workshop copyright national academy of sciences,SpaceWeatherOpsResearch,academicArticle,neutral,0.42641520500183105
all rights reserved,SpaceWeatherOpsResearch,academicArticle,neutral,0.45640063285827637
preface ix use of oneoff missions for space weather operation however several participants expressed the need for advance crossmission planning and international collaboration in building the infrastructure,SpaceWeatherOpsResearch,academicArticle,negative,0.4033212959766388
finally this proceedings includes a summary of discussions on workforce development which was not explicitly mentioned in the statement of task but was included as human infrastructure need,SpaceWeatherOpsResearch,academicArticle,neutral,0.40877020359039307
chapter  which aligns with the topics in session  provides context and background for the work shop,SpaceWeatherOpsResearch,academicArticle,positive,0.4162064790725708
recognizing the different challenges and needs in research observation and modeling in the three key research areas the sun and heliosphere the magnetosphereionospherethermospheremesosphere system and the ground effects respectively chapters   and focus on each of these areas separately,SpaceWeatherOpsResearch,academicArticle,positive,0.4480721652507782
the final two chapters cover the entire sunearth system in discussing modeling and validation needs of the space weather research community chapter  and the future architectures needed to establish a robust research infrastructure chapter ,SpaceWeatherOpsResearch,academicArticle,positive,0.42751988768577576
addressing future capabilities implies a time scale,SpaceWeatherOpsResearch,academicArticle,positive,0.4458054006099701
most of the workshop presentations and discussions focused on already existing or shortly upcoming capabilities and assets as well as the impact of space weather on nearterm technological developments eg the impact on systems that will increasingly rely on precision navigation and timing,SpaceWeatherOpsResearch,academicArticle,neutral,0.42489466071128845
given the focus of the discussions this proceedings covers a time scale of perhaps the next  years,SpaceWeatherOpsResearch,academicArticle,positive,0.4202463626861572
finally it is to be noted that following national academies practices this proceedings of a workshop does not include findings or recommendations,SpaceWeatherOpsResearch,academicArticle,neutral,0.45359405875205994
while the workshop organizers sought to get the widest pos sible representation the contents of this proceedings are limited to the discussions and presentations givenplanning the future space weather operations and research infrastructure proceedings of the phase ii workshop copyright national academy of sciences,SpaceWeatherOpsResearch,academicArticle,neutral,0.42539700865745544
all rights reservedplanning the future space weather operations and research infrastructure proceedings of the phase ii workshop copyright national academy of sciences,SpaceWeatherOpsResearch,academicArticle,positive,0.4164566397666931
all rights reserved,SpaceWeatherOpsResearch,academicArticle,neutral,0.45640063285827637
xi reviewers this proceedings of a workshop was reviewed in draft form by individuals chosen for their diverse perspectives and technical expertise,SpaceWeatherOpsResearch,academicArticle,positive,0.41721269488334656
the purpose of this independent review is to provide candid and criti cal comments that will assist the national academies of sciences engineering and medicine in making each published proceedings as sound as possible and to ensure that it meets the institutional standards for quality objectivity evidence and responsiveness to the charge,SpaceWeatherOpsResearch,academicArticle,positive,0.47583022713661194
the review comments and draft manuscript remain confidential to protect the integrity of the process,SpaceWeatherOpsResearch,academicArticle,neutral,0.4537922739982605
we thank the following individuals for their review of this proceedings seebany dattabarua illinois institute of technology christine gabrielse the aerospace corporation joe giacalone university of arizona david hysell cornell university susan lepri university of michigan and harlan spence university of new hampshire,SpaceWeatherOpsResearch,academicArticle,positive,0.4104706048965454
although the reviewers listed above provided many constructive comments and suggestions they were not asked to endorse the content of the proceedings nor did they see the final draft before its release,SpaceWeatherOpsResearch,academicArticle,neutral,0.4492832124233246
the review of this proceedings was overseen by louis j lanzerotti nae new jersey institute of technology,SpaceWeatherOpsResearch,academicArticle,positive,0.41064217686653137
he was responsible for making certain that an independent examination of this proceedings was carried out in accordance with standards of the national academies and that all review comments were care fully considered,SpaceWeatherOpsResearch,academicArticle,neutral,0.4488303065299988
responsibility for the final content rests entirely with the authoring committee and the national academiesplanning the future space weather operations and research infrastructure proceedings of the phase ii workshop copyright national academy of sciences,SpaceWeatherOpsResearch,academicArticle,neutral,0.42860931158065796
all rights reservedplanning the future space weather operations and research infrastructure proceedings of the phase ii workshop copyright national academy of sciences,SpaceWeatherOpsResearch,academicArticle,positive,0.4164566397666931
all rights reserved,SpaceWeatherOpsResearch,academicArticle,neutral,0.45640063285827637
xiii contents summary the space weather community agency updates interagency partnerships new ways of working user community and operations diversity in workforce references research observation and modeling needs the sun and heliosphere keynotes the sun the solar wind references research observation and modeling needs magnetosphere ionosphere thermosphere and mesosphere the magnetosphere ionosphere and thermosphere crossscale and crossregion coupling references research observation and modeling needs ground effects research needs observation and modeling needs planning the future space weather operations and research infrastructure proceedings of the phase ii workshop copyright national academy of sciences,SpaceWeatherOpsResearch,academicArticle,positive,0.40153560042381287
all rights reserved,SpaceWeatherOpsResearch,academicArticle,neutral,0.45640063285827637
xiv contents modeling validation and data science keynotes data assimilation and machine learning machine learning and validation data fusion and assimilation ensemble modeling data and model resources and curation research infrastructure the sun and the heliosphere magnetosphere ionosphere and thermosphere reference appendixes a statement of task b workshop agenda c poster session at the april   workshop d acronyms and abbreviations e biographies of committee members and staff planning the future space weather operations and research infrastructure proceedings of the phase ii workshop copyright national academy of sciences,SpaceWeatherOpsResearch,academicArticle,neutral,0.4208223819732666
all rights reserved,SpaceWeatherOpsResearch,academicArticle,neutral,0.45640063285827637
summary in  the national academies of sciences engineering and medicine were approached by officials from the national environmental satellite data and information service nesdis of the national oceanic and atmospheric administration noaa the heliophysics division of the national aeronautics and space administration nasa and the geospace section at the national science foundation nsf to organize a workshop that would examine the operational and research infrastructure that supports the space weather enterprise including an analysis of existing and potential future measurement gaps and opportunities for future enhancements,SpaceWeatherOpsResearch,academicArticle,positive,0.4326917231082916
that workshop phase i focused on space weather operations including measure ment continuity needs and a proceedings summarizing the workshop was published in ,SpaceWeatherOpsResearch,academicArticle,positive,0.45100364089012146
subsequently nasa noaa and nsf requested a followon workshop that would focus on the research agenda and observations needed to improve scientific understanding of the sunearth interactions that cause space weather,SpaceWeatherOpsResearch,academicArticle,positive,0.4291236996650696
a summary of the workshop is presented in this proceedings,SpaceWeatherOpsResearch,academicArticle,positive,0.44452574849128723
current space weather efforts the us space weather community includes a number of stakeholders both in and outside the federal government,SpaceWeatherOpsResearch,academicArticle,positive,0.413748174905777
nasa is currently establishing a space weather program within its heliophysics division,SpaceWeatherOpsResearch,academicArticle,positive,0.43807169795036316
this reflects the newly broadened role of heliophysics in the researchtooperationsoperationstoresearch ror process providing space weather information to lunar and planetary endeavors as well as develop ing new applications for impact mitigation,SpaceWeatherOpsResearch,academicArticle,positive,0.39673981070518494
for example the hermes instrument package to be placed on the lunarorbiting gateway will make space weather measurements to support lunar operations and dem onstrate technologies needed to conduct a human mission to mars,SpaceWeatherOpsResearch,academicArticle,positive,0.46284228563308716
the heliophysics system observatory hso provides observations for basic and applicationsfocused research as well as realtime operations,SpaceWeatherOpsResearch,academicArticle,positive,0.43062567710876465
nsf is carrying out a variety of space weather efforts housed in multiple nsf directorates for exam ple the directorate of geosciences supports the coupling energetics and dynamics of atmospheric national academies of sciences engineering and medicine  planning the future space weather operations and research infrastructure proceedings of a workshop washington dc the national academies press the future space weather operations and research infrastructure proceedings of the phase ii workshop copyright national academy of sciences,SpaceWeatherOpsResearch,academicArticle,neutral,0.41853296756744385
all rights reserved,SpaceWeatherOpsResearch,academicArticle,neutral,0.45640063285827637
planning the future space weather operations and research infrastructure regions cedar geospace environment modeling gem and solar heliospheric and interplanetary environment shine programs as well as facilities such as the national center for atmospheric research ncar,SpaceWeatherOpsResearch,academicArticle,positive,0.4437468349933624
the directorate for mathematical and physical sciences supports the national solar observatory and the division of physics supports plasma physics research,SpaceWeatherOpsResearch,academicArticle,neutral,0.41755327582359314
nsf also supports a wide network of observ ing facilities including solar telescopes magnetometer networks radars neutron monitors and networks of citizenscience measurements,SpaceWeatherOpsResearch,academicArticle,positive,0.46495863795280457
although the nsfsupported observing network is primarily groundbased nsf also supports balloonbased instrumentation as well as cubesats and publicprivate partnerships with the space industry,SpaceWeatherOpsResearch,academicArticle,positive,0.4433303475379944
an important priority for nsf is the development of the space science workforce,SpaceWeatherOpsResearch,academicArticle,positive,0.44883397221565247
the department of defense space weather program has recently been reorganized within the us space force under space domain awareness,SpaceWeatherOpsResearch,academicArticle,positive,0.4118439853191376
the goal of that effort is to create a holistic picture of the environment within which operations are conducted with the inclusion of specific system impacts,SpaceWeatherOpsResearch,academicArticle,positive,0.4626038670539856
reaching that goal will involve development of an integrated software suite consisting of data models and applications as well as interagency agreements which are being established to facilitate sharing of data between agencies using open architectures and enabling all participating agencies to improve their capabilities eg those concerning commercial space traffic management,SpaceWeatherOpsResearch,academicArticle,positive,0.39851027727127075
the noaa space weather charter complements those of the other agencies and focuses on capacity building to advance space weather policy services research and operations,SpaceWeatherOpsResearch,academicArticle,positive,0.4578782916069031
noaas plans for improve ment of space weather services involves  sustaining fundamental observations  providing accurate models and forecast products  transitioning scientific and technological advances into operations and  supporting the private sector to fill data and technology gaps and to provide valueadded services,SpaceWeatherOpsResearch,academicArticle,positive,0.4603044092655182
noaas new operations paradigm combines the establishment of dedicated operational observing systems with modeling and service improvements to provide forecasts warnings and data,SpaceWeatherOpsResearch,academicArticle,positive,0.47421321272850037
furthermore space weather has recently become a third pillar in noaas nesdis structure which aims to provide an inte grated digital understanding of earths environment,SpaceWeatherOpsResearch,academicArticle,positive,0.4793730676174164
noaas longterm support for nasas crewed missions was continued by the recently signed nasanoaa interagency agreement on providing space radiation environment support to all human spaceflight missions including the international space station and lunar artemis and martian crewed missions,SpaceWeatherOpsResearch,academicArticle,positive,0.3861234784126282
noaas office of space commerce is prototyping an openarchitecture data repository oadr environment to facilitate researchtooperations ro efforts related to space traffic management,SpaceWeatherOpsResearch,academicArticle,positive,0.46742770075798035
a central element of the us national space weather effort is the national space weather strategy and action plan nswsap which was put in place in ,SpaceWeatherOpsResearch,academicArticle,positive,0.4531034231185913
us space weather activities are overseen by the space weather operations research and mitigation subcommittee in the office of science and technol ogy policy,SpaceWeatherOpsResearch,academicArticle,neutral,0.4313235282897949
the proswift act signed into law on october   codifies us policy to prepare and protect against the social and economic impacts of space weather,SpaceWeatherOpsResearch,academicArticle,positive,0.4527764320373535
it mandated the establishment of a space weather interagency working group to coordinate executive branch actions to improve understanding and prediction of space weather phenomena and a space weather advisory group to receive advice from academia the commercial sector and space weather end users,SpaceWeatherOpsResearch,academicArticle,neutral,0.4274890720844269
in addition the national academies space weather roundtable and nasas space weather council help support communication and coordination among the agencies in the space weather effort,SpaceWeatherOpsResearch,academicArticle,positive,0.4366699457168579
priorities in updating the nswsap include the ror framework benchmarks activity scales hazard mapping human exploration space situational awareness aviation and continuity of satellite observations,SpaceWeatherOpsResearch,academicArticle,positive,0.4754752218723297
the intent expressed in the nswsap is to provide a formal interagency structure to ensure an effective space weather ror process,SpaceWeatherOpsResearch,academicArticle,positive,0.4352337419986725
this report frequently references the term space traffic management however other terms in common use are space traffic awareness and space traffic coordinationplanning the future space weather operations and research infrastructure proceedings of the phase ii workshop copyright national academy of sciences,SpaceWeatherOpsResearch,academicArticle,neutral,0.40093135833740234
all rights reserved,SpaceWeatherOpsResearch,academicArticle,neutral,0.45640063285827637
summary the us commercial sector particularly electric power and aviation industries has a long history of using space weather observations and forecasts in decision making,SpaceWeatherOpsResearch,academicArticle,positive,0.423495352268219
for example the north american electric reliability corporation nerc has developed mandatory standards for grid operators for risk assessment and mitigation especially concerning extreme events thus guiding old and new operators in the field,SpaceWeatherOpsResearch,academicArticle,positive,0.4562615752220154
space industry on the other hand is booming and bringing new actors to the field which has created a need to educate new satellite providers and operators on how to adapt to and mitigate space weather hazards,SpaceWeatherOpsResearch,academicArticle,positive,0.3939945101737976
for most space weather applications having the longest possible forecast lead time ideally hours in advance is of key importance,SpaceWeatherOpsResearch,academicArticle,positive,0.43216875195503235
however there are significant challenges in reaching this objective including the availability of the required observations the level of scientific understand ing of processes that underlie space weather phenomena and the intrinsic time scales of the processes themselves,SpaceWeatherOpsResearch,academicArticle,neutral,0.4214758574962616
research needs space weather lies at the intersection of the natural space environment object of fundamental sci entific research and hazards to human systems and technology addressed by operational communities interested in engineering risk mitigation,SpaceWeatherOpsResearch,academicArticle,positive,0.46177396178245544
this intersection includes applied science and engineering as well as ro activities,SpaceWeatherOpsResearch,academicArticle,positive,0.4548972249031067
space weather impacts can be broken into five categories  hazards affecting spaceborne technol ogy caused by direct drivers from the sun eg solar flares and radio bursts  radiation effects eg on technology and humans aboard spacecraft and aircraft  ionospheric effects eg affecting satellite communication navigation and highfrequency hf radio communications  thermospheric expansion orbital changes and collision hazards of satellites and other objects and  geomagnetically induced currents gics which can lead to damage to power systems on the ground,SpaceWeatherOpsResearch,academicArticle,neutral,0.44634971022605896
reaching the level of understanding required to predict geospace system behavior requires a systems approach involving coordinated and concurrent spaceborne and groundbased measurements combined with advanced data science modernized data infrastructure and modeling tools,SpaceWeatherOpsResearch,academicArticle,positive,0.437858909368515
for example in order to better understand the behavior of coronal mass ejections one of the key drivers of space weather it is important to track their evolution in real time and in three dimensions as they travel toward and impact earth,SpaceWeatherOpsResearch,academicArticle,neutral,0.4302847683429718
however such level of coordination is not reflected in the current infrastructure while past and current nasa space missions have been combined into the heliophysics system observatory this system has not been strategically planned from a systemsscience perspective,SpaceWeatherOpsResearch,academicArticle,neutral,0.43369200825691223
as each new mission is evaluated on its individual science goals any systems science approaches have been and will be on an ad hoc basis,SpaceWeatherOpsResearch,academicArticle,neutral,0.46309977769851685
furthermore the groundbased measurements suffer from a similar lack of coordination,SpaceWeatherOpsResearch,academicArticle,neutral,0.3841191828250885
since systems science requires an extensive simultaneously operational fleet it would greatly benefit from international collaboration,SpaceWeatherOpsResearch,academicArticle,positive,0.397504061460495
multisatellite missions are necessary for understanding the processes that take place over vast regions of space at many different scales and technological advances now enable missions to study conditions and processes from the smallest scale to mesoscales and the entire magnetosphereionospherethermosphere system,SpaceWeatherOpsResearch,academicArticle,positive,0.43911218643188477
however such missions require substantial investments in intercalibration of the observing instru ments as well as developing robust methods to incorporate data into interpretive models,SpaceWeatherOpsResearch,academicArticle,positive,0.38331735134124756
constellations covering a range of scales are important for understanding processes that extend from the solar atmosphere t pulkkinen  space weather terrestrial perspective living reviews solar physics  ,SpaceWeatherOpsResearch,academicArticle,positive,0.46204280853271484
note that the small scale and mesoscale definitions are regiondependent with the ionospheric small to mesoscales being from tens of meters to  km and magnetospheric scales ranging from tens of kilometers to a few earth radiiplanning the future space weather operations and research infrastructure proceedings of the phase ii workshop copyright national academy of sciences,SpaceWeatherOpsResearch,academicArticle,positive,0.4375568926334381
all rights reserved,SpaceWeatherOpsResearch,academicArticle,neutral,0.45640063285827637
planning the future space weather operations and research infrastructure and inner heliosphere to the nearearth space environment,SpaceWeatherOpsResearch,academicArticle,positive,0.4241110682487488
similarly it was noted by some participants that a dense network of groundbased and spacebased geophysical observatories including those operated by the private sector will be required to provide highconfidence long leadtime predictions of gics and other hazards to power systems and other technological assets,SpaceWeatherOpsResearch,academicArticle,positive,0.4591444730758667
extreme events are rare and their impacts are neither well understood nor well represented by existing models,SpaceWeatherOpsResearch,academicArticle,neutral,0.4456607401371002
currently available data sets which are dominated by quiet space weather pose challenges for machine learning models as well as validation of physicsbased models when they try to address very high activity periods,SpaceWeatherOpsResearch,academicArticle,neutral,0.40780216455459595
continuous monitoring of space weather is needed to observe rare space weather events,SpaceWeatherOpsResearch,academicArticle,positive,0.4330008327960968
however observation of such events was said to provide a unique opportunity to increase knowledge of their impacts on the space environment on the upper atmosphere and on the ground and spacebased technological systems,SpaceWeatherOpsResearch,academicArticle,positive,0.4313817024230957
these considerations point to the following detailed research needs tracking the entire system the nasa gap analysis report lists top observational priorities solar and solar wind observations including observations off the sunearth line and the solar wind near earth plasma sheet electron and ion injectionsbursts from the magnetotail into geosynchronous orbit and medium earth orbit regions ring current and radiation belt electron acceleration pro cesses ionospheric and thermospheric key parameters and ionospheric d and eregion energetic particle precipitation as well as e and fregion cusp and auroral region precipitation,SpaceWeatherOpsResearch,academicArticle,positive,0.41611000895500183
understanding global couplings significant efforts are being devoted to finding ways to couple regimes eg solar wind to magnetosphere physical transitions eg plasmadominated versus magneticpressuredominated plasmas high versus low alfvn speed plasmas collisional versus collisionless plasmas and spatial scales eg magnetohydrodynamic versus kinetic plasmas,SpaceWeatherOpsResearch,academicArticle,positive,0.4371742010116577
such multiscale and multistep processes are important in understanding the physics of space weather but they are not well observed or well modeled,SpaceWeatherOpsResearch,academicArticle,neutral,0.41432878375053406
this is especially true for the ionosphere which is coupled to the magnetosphere and solar wind from above but also to the thermosphere and even the stratosphere from below the forcing from below is an important but often neglected aspect of space weather,SpaceWeatherOpsResearch,academicArticle,neutral,0.43560320138931274
realtime monitoring such monitoring is critical for both nowcasting and forecasting but it creates extra challenges for data downlinking systems and capacity and also places additional requirements on researchfocused missions which generally are not concerned with realtime monitoring,SpaceWeatherOpsResearch,academicArticle,neutral,0.4305194318294525
validating models observing system simulation experiments osses can be invaluable in provid ing costbenefit analyses of adding additional measurements to improve model performance,SpaceWeatherOpsResearch,academicArticle,positive,0.4103866219520569
in addition osses can be conducted to identify missing physics and to improve the assessment of model errors and error sources,SpaceWeatherOpsResearch,academicArticle,neutral,0.4168396592140198
reaching out to neighboring fields for example collaboration with plasma physics researchers data scientists and earth scientists would be beneficial for gaining new numerical and computa tional tools to space weather science,SpaceWeatherOpsResearch,academicArticle,positive,0.38907504081726074
modeling and validation current operational space weather models include large physicsbased models that treat the system elements from the sun to the upper atmosphere and ground,SpaceWeatherOpsResearch,academicArticle,neutral,0.40730035305023193
experiences from the terrestrial weather community indicate that the way to improve the accuracy of predictions is to increase model resolution computational power improve representation of physical processes scientific understanding and use advanced data assimilation techniques new analysis methodsplanning the future space weather operations and research infrastructure proceedings of the phase ii workshop copyright national academy of sciences,SpaceWeatherOpsResearch,academicArticle,positive,0.46575772762298584
all rights reserved,SpaceWeatherOpsResearch,academicArticle,neutral,0.45640063285827637
summary data needs are still pressing becausedespite the large data sets already acquiredthe data are often not well matched to modeling needs,SpaceWeatherOpsResearch,academicArticle,neutral,0.40952348709106445
the lack of suitable data arises either because of the quality or for  mat of available data or because the models need measurements that are not made at all are not made at the right locations or are not made at sufficient cadence,SpaceWeatherOpsResearch,academicArticle,neutral,0.43269774317741394
since even large data sets contain only a small number of extreme events the lack of data remains a challenge for many of the new data analysis and modeldevelopment methodologies being employed,SpaceWeatherOpsResearch,academicArticle,neutral,0.40485236048698425
in particular the space weather community does not yet have the data needed to create standardized data products suited for machine learning applications,SpaceWeatherOpsResearch,academicArticle,neutral,0.40162503719329834
as the need is to acquire simultaneous observations from as many locations as possible data buys from private companies operating instruments onboard commercial satellites offer a potential solution for some of the data sparsity issues assuming that the required instruments and data products would be available,SpaceWeatherOpsResearch,academicArticle,positive,0.439543753862381
the space weather community is becoming increasingly multidisciplinary as optimal use of new methods such as ensemble modeling data assimilation or machine learning requires bringing in experts from computer science earth sciences space technology and other fields,SpaceWeatherOpsResearch,academicArticle,positive,0.4515082538127899
while these methods have been applied in other fields to other data sets their application to space weather prediction problems requires development of dedicated data sets as well as methods tuned to the specific problem ie substantial cross disciplinary learning between the discipline scientists and the methodology developers,SpaceWeatherOpsResearch,academicArticle,positive,0.4592646658420563
furthermore due to the large system size ensemble models data assimilation and machine learning applications often need computing and data storage resources that push the current capacity of even the largest supercomputing facilities,SpaceWeatherOpsResearch,academicArticle,neutral,0.4035215973854065
in particular space weather must address the following modeling and validation issues ensemble modeling data assimilation and machine learning are methodologies that have the potential to significantly improve space weather predictions,SpaceWeatherOpsResearch,academicArticle,positive,0.42450299859046936
however each of these methodolo gies is currently limited in its application,SpaceWeatherOpsResearch,academicArticle,positive,0.43729475140571594
ensemble modeling is currently limited by computing and data storage resources data assimilation will require development of solutions suited for the sparse space physics data and machine learning is currently limited both by data quality and data quantity particularly concerning extreme events,SpaceWeatherOpsResearch,academicArticle,neutral,0.41284096240997314
machine learning models for space weather produce best results when aimed at both understanding the underlying physical phenomena and producing the more typical machine learning black box predictions,SpaceWeatherOpsResearch,academicArticle,positive,0.4621981978416443
data scarcity is a real issue the too often too quiet problem arises because space weather data sets are dominated by quiet conditions containing only as rare occurrences storms that are of relevance to severe space weather,SpaceWeatherOpsResearch,academicArticle,neutral,0.3999950885772705
this creates a serious problem for any machine learning algorithm and it also poses challenges for defining meaningful metrics that assess the ability of a model to predict interesting but rare events,SpaceWeatherOpsResearch,academicArticle,neutral,0.4315306544303894
interdisciplinary teams courses and programs are needed to train the next generation of space physicists,SpaceWeatherOpsResearch,academicArticle,positive,0.45555979013442993
in particular it is important to see that a sufficient fraction of the community is equipped with the machine learning skills and knowledge they will need in their research and applied work,SpaceWeatherOpsResearch,academicArticle,positive,0.38868948817253113
research infrastructure capabilities have steadily increased in spacecraft development launch systems modeling and data analytics instrumentation and commercial data product services,SpaceWeatherOpsResearch,academicArticle,positive,0.36953607201576233
this has led to a changed vision for the future science missions infrastructure and operations on top of the science priorities to increase under  standing of the solarterrestrial environment the ror cycles should be included in the planning from the beginning,SpaceWeatherOpsResearch,academicArticle,positive,0.48443493247032166
these emerging trends will play a major role in shaping future architectures,SpaceWeatherOpsResearch,academicArticle,positive,0.390821635723114
central themes on the topic of infrastructure are the need for resources and the need to plan aheadplanning the future space weather operations and research infrastructure proceedings of the phase ii workshop copyright national academy of sciences,SpaceWeatherOpsResearch,academicArticle,positive,0.46149441599845886
all rights reserved,SpaceWeatherOpsResearch,academicArticle,neutral,0.45640063285827637
planning the future space weather operations and research infrastructure a key theme that appeared across sessions was the need to increase the operational infrastructure by incorporating data from scientific or future commercial missions into operations,SpaceWeatherOpsResearch,academicArticle,positive,0.39718809723854065
this will require for example intercalibration of science instruments so that data sets from different missions can be incorpo rated into operational models,SpaceWeatherOpsResearch,academicArticle,positive,0.45699411630630493
preplanning and coordination between the science and operations agencies are needed to address potential issues regarding calibration data uniformity and latency,SpaceWeatherOpsResearch,academicArticle,neutral,0.41920894384384155
noaa has established a program of record that identifies the essential observations that must continu ously be obtained,SpaceWeatherOpsResearch,academicArticle,positive,0.4367341697216034
these include observations of the sun the solar wind the geostationary environment and the ionosphere,SpaceWeatherOpsResearch,academicArticle,neutral,0.4164413511753082
while academic research can often use data after the fact some key information about the sun and the heliosphere needs to be provided in near realtime to enable operational decisions,SpaceWeatherOpsResearch,academicArticle,positive,0.43584877252578735
